question,strategy,prompt,response,score
Name 3 symptoms of diabetes.,one_shot,"Question: What is the capital of France?
Answer: The capital of France is Paris.

Question: Name 3 symptoms of diabetes.
Answer:","Symptoms of diabetes include swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen",0.4
Name 3 symptoms of diabetes.,few_shot,"Question: What is the capital of France?
Answer: The capital of France is Paris.

Question: What is the largest planet?
Answer: The largest planet is Jupiter.

Question: Name 3 symptoms of diabetes.
Answer:","Symptoms of diabetes include swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen eyes, swollen",0.4
Translate 'I am very tired' to French.,direct,"Question: Translate 'I am very tired' to French.
Answer:",Je suis très dû.,0.4
Translate 'I am very tired' to French.,chain_of_thought,"Question: Translate 'I am very tired' to French.
Let's think about this step by step:
1. First, let's understand what we're being asked
2. Then, we'll break down the key components
3. Finally, we'll provide a comprehensive answer

Answer:",I am very tired,0.0
Translate 'I am very tired' to French.,one_shot,"Question: What is the capital of France?
Answer: The capital of France is Paris.

Question: Translate 'I am very tired' to French.
Answer:",Je suis très dû.,0.4
Translate 'I am very tired' to French.,few_shot,"Question: What is the capital of France?
Answer: The capital of France is Paris.

Question: What is the largest planet?
Answer: The largest planet is Jupiter.

Question: Translate 'I am very tired' to French.
Answer:",Je suis très dû.,0.4
Give one reason why exercise improves mental health.,direct,"Question: Give one reason why exercise improves mental health.
Answer:",Exercise is a great way to improve your mental health.,0.4
Give one reason why exercise improves mental health.,chain_of_thought,"Question: Give one reason why exercise improves mental health.
Let's think about this step by step:
1. First, let's understand what we're being asked
2. Then, we'll break down the key components
3. Finally, we'll provide a comprehensive answer

Answer:",1.,0.0
Give one reason why exercise improves mental health.,one_shot,"Question: What is the capital of France?
Answer: The capital of France is Paris.

Question: Give one reason why exercise improves mental health.
Answer:",Exercise is a great way to improve your mental health.,0.4
Give one reason why exercise improves mental health.,few_shot,"Question: What is the capital of France?
Answer: The capital of France is Paris.

Question: What is the largest planet?
Answer: The largest planet is Jupiter.

Question: Give one reason why exercise improves mental health.
Answer:",Exercise is a form of aerobic exercise.,0.2
